i  symbol  | frequency | timestamp  |        open        |        high
|        low         |       close        |  prediction  | trainmodel
----------+-----------+------------+--------------------+--------------------
+--------------------+--------------------+--------------+------------
 GOOGL.US | D         | 2026-07-20 | 347.95605964073025 | 364.93178780482356
| 331.77000054995784 | 347.95605964073025 | LIGHTGBM     | BAYESOPT
 GOOGL.US | D         | 2026-07-20 | 348.01988412653117 |   364.998726095058
| 331.83085607784017 | 348.01988412653117 | ENSEMBLE     | BAYESOPT
 GOOGL.US | D         | 2026-07-20 | 346.73654553378935 | 358.98565835095224
| 339.75492196504405 | 346.73654553378935 | QUANTILE     | BAYESOPT
 GOOGL.US | D         | 2026-07-20 |  349.2237637861536 | 366.26133941738806
| 332.97873422011884 |  349.2237637861536 | KALMAN       | BAYESOPT
 GOOGL.US | D         | 2026-07-20 |  348.2617516203396 | 365.25239357542466
| 332.06147249140884 |  348.2617516203396 | RANDOMFOREST | BAYESOPT
 GOOGL.US | D         | 2026-07-20 | 346.73654553378935 | 358.98565835095224
| 339.75492196504405 | 346.73654553378935 | QUANTILE     | PSO
 GOOGL.US | D         | 2026-07-20 | 347.95605964073025 | 364.93178780482356
| 331.77000054995784 | 347.95605964073025 | LIGHTGBM     | PSO
 GOOGL.US | D         | 2026-07-20 |  349.1170126140389 | 366.14938017710267
|  332.8769488496678 |  349.1170126140389 | ELASTICNET   | BAYESOPT
 GOOGL.US | D         | 2026-07-20 |  348.4876760035143 |  365.4893401288078
|  332.2768874285923 |  348.4876760035143 | ENSEMBLE     | NELDERMEAD
 GOOGL.US | D         | 2026-07-20 |  349.1170126140389 | 366.14938017710267
|  332.8769488496678 |  349.1170126140389 | ELASTICNET   | PSO
 GOOGL.US | D         | 2026-07-20 |  348.4636303760417 | 365.46412138759223
|     332.2539603445 |  348.4636303760417 | XGBOOST      | BAYESOPT
 GOOGL.US | D         | 2026-07-20 |  349.0008206093697 |  366.0275195144767
|  332.7661618109458 |  349.0008206093697 | THETA        | BAYESOPT
 GOOGL.US | D         | 2026-07-20 |  347.6581929710819 | 357.44969418830306
| 338.13490710736545 |  347.6581929710819 | ARIMA        | PSO
 NDX.IDX | D         | 2026-07-21 |  28929.61375921001 | 30287.886156433317 |
 27632.253632177166 |  28929.61375921001 | LIGHTGBM     | PSO
 NDX.IDX | D         | 2026-07-21 | 28950.022042422166 |  30309.25262761136 |
  27651.74669774691 | 28950.022042422166 | KALMAN       | ACO
 NDX.IDX | D         | 2026-07-21 | 28950.022042422166 |  30309.25262761136 |
  27651.74669774691 | 28950.022042422166 | KALMAN       | DE
 NDX.IDX | D         | 2026-07-21 | 28975.878785847945 | 30336.323369300982 |
 27676.443885147684 | 28975.878785847945 | RANDOMFOREST | ACO
 NDX.IDX | D         | 2026-07-21 | 28950.022042422166 |  30309.25262761136 |
  27651.74669774691 | 28950.022042422166 | KALMAN       | PSO
 NDX.IDX | D         | 2026-07-21 | 28829.446286823775 |  30183.01572762415 |
